                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
case id	qb1c                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
200926	As a taxpayer I feel that my money should go towards those programs anyway.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
200927	we already pay this in our taxes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
200931	To try to help and I have problems in my life people help me. And I learned from going to prison and etc. and someone has foot the bill for the  program.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
200938	I think it should come out of tax payers base                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
200942	the problem is in the children growing up not people out there now.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
200945	it worked last year and worth keeping                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
200946	Just because of the support.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
200947	anybody life is worth that                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
200948	We need more of that down here.  We really need that.  No one tries to figure out the murder.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
200949	same answer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
200950	"Polictially corruption, politically patronage and inefficient wastes. I pay a lot of taxes."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
200951	small price to pay for that type of service                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
200952	If the program was really working then I would support it.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
200955	If it is going to help to promote murder in my area then I would help.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
200956	"We need to reduce all that,crimes."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
200957	I want the murdereers off the street I have children                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
200958	Some of the money should come from other resources.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
200959	it would be worth it                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
200960	limited budget                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
200961	125 is enough                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
200963	it would not be my program that I ainstuituted                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
200964	If its the # that is improving then its worth it.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
200966	Well We Need To Keep the City Streets Safe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
200969	I Don't Know That Is Very Hard To Judge                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
200971	its not that much more if everyone did the extra there would be the money to make it work                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
200975	because it shown to be a sucessful program in the past and hopefully it will be effictive in the future and i believe that prevention is important                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
200976	i dont know of any such program but if we can cut down killing i would contribute                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
200977	can't answer that...NO!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
200981	b/c i have kids to take care of                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
200984	it seems a little high per household in the comm for 1 out of 10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
200985	because the number of prevention may go up more                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
200986	that is what i pay taxes for. my taxes are high enough. another 1 percent for sales tax for schools. taxes are high enough.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
200987	because it's hypotheical not proven                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
200989	the difference may not sound alot but $50 is what i would give                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
200990	200 is high enough                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
200991	b/c prevention is the best solution.  :175 is not much to me                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
200992	Because they were getting a $100 per year and they ought to be able to prevent 3x the amount of murders.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
200994	because i dont have any idea i suppose that if we could save one life it would be worth it                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
200998	again i dont feel like im in a situation that i would be at risk of this                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
200999	they  only prevented one out of ten not that good a job                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
201000	"because i think that they should be able to accomplish that aim by more effectively using they're money the programs should be pre crime programs in schools, guidance, and poverty so that it doesnt get to the point that we have to use things like that that's where i'd be willing to put my money for children and the poor and education and the poor because it's the poor that end up in jail"                                                                                                                                                                                                                                                  
201004	It's a violent crime issue and it deserves more attetion to it.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
201006	because the same reason a 100 is enough                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
201008	because i don't have it-p-                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
201009	I believe in spending more money to prevent violent crime.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
201010	ive got a child with diabetes and this is expensive and an unexpected expense.  im gonna take all of my money and put it toward him-p-plus i have another gettni ready for college so family first                                                                                                                                                                                                                                                                                                                                                                                                                                                        
201012	because we don't have any money                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
201013	because any amount of money to save a human life is worth it-p-the same reason before i think crime prevention is underfunded                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
201014	Sounds like too much                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
201016	don't have a job                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
201017	i think 125 is enough                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
201018	im thinking about the money available                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
201019	i feel that the 25 would be enough to take care of the program                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
201020	there is a need to help keep these criminals off the street                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
201023	don't know                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
201024	it is saving a life                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
201027	"because she is on a low income, she had to cloes her business"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
201029	dont care; same reason as last                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
201033	no reason                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
201034	if every household donates 125 that should be sufficient                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
201036	if it is an effecti\ve program i woudld be willing to help                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
201037	"Because, if everyone in the community is willing to pay money equally will help lessen crime in the community. This is on a higher level this is a more herendous crime lives are being taken and I would be willing to pay any amount of money to prevent this."                                                                                                                                                                                                                                                                                                                                                                                        
201038	i don't have this kind of money                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
201040	200 is a good round number.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
201041	i already pay taxes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
201043	$50 to save one persons life is not really alot of money..                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
201045	we need to focus on our kids more                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
201046	THis sounds like alot of money compared to what I spend money already.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
201047	If It Helped Before Why Not Keep It Going                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
201048	Because If It Prevents That Amout Of Crime And My Money Would Help I Would Be Willing To                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
201049	If That Is Working For 150 Thats What I Would Pay                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
